threshold,n_high_dc_units_total,n_high_dc_pjm_units,beta_triple_pp,se_triple_pp,p_triple,beta_pjm_post_pp,se_pjm_post_pp,p_pjm_post,N
5,23,6,7.652040553974217,4.177506855220272,0.06699251590475243,3.490125653791834,1.8286568269172812,0.05631715482567848,6377
10,13,3,11.972576238904347,5.080843404819044,0.01845228395781924,3.6611899912713937,1.6990163858765301,0.031170601052851705,6377
20,8,3,11.842670335532596,6.30920345762077,0.060511676062687966,3.8079670749819785,1.6955461890476766,0.02471268530886965,6377
50,2,1,7.345541424163877,1.7182551177978493,1.9113689752386403e-05,4.706008832844832,1.7182551177979293,0.006165822821054567,6377
