group,date,weighted_price,customers,price_cw,idx
Non PJM,2023-01-01,1392745612.848443,80072776.0,17.39349729611526,89.42856052161916
Non PJM,2023-02-01,1458926223.0361557,79754177.0,18.292787637143515,94.05225633851015
Non PJM,2023-03-01,1443799414.5959785,80163206.0,18.010749402861688,92.6021584729408
Non PJM,2023-04-01,1426401100.955177,79461451.0,17.950856459381505,92.29421926844098
Non PJM,2023-05-01,1439521254.3723898,79721340.0,18.056912419841286,92.83950534387414
Non PJM,2023-06-01,1462664912.1228049,79697840.0,18.352629282334437,94.35993179316785
Non PJM,2023-07-01,1405453851.5356321,79627529.0,17.650351193688707,90.74917327323014
Non PJM,2023-08-01,1411172870.4654467,79978520.0,17.644398401788965,90.71856702989588
Non PJM,2023-09-01,1428280191.0393643,79704235.0,17.91975283420466,92.13430016883643
Non PJM,2023-10-01,1453451630.6119795,79906012.0,18.189515334740765,93.52128242404075
Non PJM,2023-11-01,1409639702.0220063,79791673.0,17.66650139071537,90.83220941298092
Non PJM,2023-12-01,1399417579.8652964,80015790.0,17.489267804083372,89.92096400564566
Non PJM,2024-01-01,1383622125.6097293,78643329.0,17.593636271548593,90.45757384611441
Non PJM,2024-02-01,1426472233.5212603,78587267.0,18.151442186191055,93.32552956241891
Non PJM,2024-03-01,1460682909.1670902,78779284.0,18.541459569080246,95.33080156358106
Non PJM,2024-04-01,1474383275.6084006,78705124.0,18.73300238505946,96.31561778654412
Non PJM,2024-05-01,1486763922.0951147,78871027.0,18.85057135233087,96.92009791645128
Non PJM,2024-06-01,1457819026.0754497,78873952.0,18.48289567226769,95.0296956444366
Non PJM,2024-07-01,1447557855.6904597,79132862.0,18.292752455869216,94.0520754542024
Non PJM,2024-08-01,1436722038.7257967,79258802.0,18.126971421114803,93.19971327266558
Non PJM,2024-09-01,1462760180.1214015,79221625.0,18.464152687115437,94.93332870031325
Non PJM,2024-10-01,1467399259.752416,79665975.0,18.41939748747713,94.70322011367466
Non PJM,2024-11-01,1424202753.0025837,78983065.0,18.031748362798833,92.71012449769475
Non PJM,2024-12-01,1420429678.3641355,79760129.0,17.80876856861823,91.56367524257962
Non PJM,2025-01-01,1427079256.2680085,79797900.0,17.883669322977276,91.94877701540186
Non PJM,2025-02-01,1475495518.6260772,79531042.0,18.552447969009098,95.38729835495909
Non PJM,2025-03-01,1512841659.1453981,79865889.0,18.94227533290712,97.39159337463428
