state,utility_number,utility_name,ownership,residential_customers,residential_price_cents_kwh,avg_monthly_bill_dollars,cum_dc_count,cum_dc_per_100k_customers,n_service_area_features,service_area_states_sampled,dc_group
GA,3916,Cobb Electric Membership Corp,Cooperative,200601.0,11.40533836470375,128.39616951062058,0,0.0,1,GA,low_dc
GA,16865,Sawnee Electric Membership Corporation,Cooperative,181600.0,11.538965543372447,136.2539922907489,0,0.0,1,GA,low_dc
GA,20065,Walton Electric Member Corp,Cooperative,131915.0,12.987417446396142,161.19894123741298,0,0.0,1,GA,low_dc
GA,6411,Flint Electric Membership Corp,Cooperative,83739.0,13.565176214322074,171.04694347914355,0,0.0,1,GA,low_dc
GA,3248,Central Georgia El Member Corp,Cooperative,61155.0,12.240150333512556,156.6579456572098,0,0.0,1,GA,low_dc
GA,16674,Satilla Rural Elec Member Corporation,Cooperative,54115.0,13.985294354817032,160.24531091194677,0,0.0,1,GA,low_dc
GA,562,Amicalola Electric Member Corp,Cooperative,50337.0,12.410637788824094,153.7169477720166,0,0.0,1,GA,low_dc
GA,11646,City of Marietta - (GA),Municipal,36273.0,11.933493514330479,99.04221689227064,0,0.0,1,GA,low_dc
GA,230,Albany Utility Board,Municipal,29517.0,12.8674977076732,125.19621461078926,0,0.0,1,GA,low_dc
GA,2903,Canoochee Electric Member Corp,Cooperative,24180.0,13.980800753535254,157.55479735318445,0,0.0,1,GA,low_dc
GA,12706,Mitchell Electric Member Corp,Cooperative,21293.0,16.00600721132941,187.28298814947007,0,0.0,1,GA,low_dc
GA,18956,Tri-County Elec Member Corp (GA),Cooperative,21154.0,14.830184631474504,174.28539913649112,0,0.0,1,GA,low_dc
GA,3843,Coastal Electric Member Corp - (GA),Cooperative,20559.0,13.935685415693788,175.39358269695347,0,0.0,1,GA,low_dc
GA,10624,Southern Rivers Energy,Cooperative,20411.0,16.40821946143007,207.27793836656704,0,0.0,1,GA,low_dc
GA,407,Altamaha Electric Member Corp,Cooperative,19628.0,16.035859937686286,161.26409550981592,0,0.0,1,GA,low_dc
GA,5582,City of East Point - (GA),Municipal,16365.0,11.967641368772565,98.91129442916794,0,0.0,1,GA,low_dc
GA,20146,Washington Elec Member Corp,Cooperative,15200.0,14.679490186879349,154.38815789473685,0,0.0,1,GA,low_dc
GA,18848,City of Thomasville - (GA),Municipal,14025.0,13.55425383254869,156.18478906714202,0,0.0,1,GA,low_dc
GA,7679,City of Griffin - (GA),Municipal,13594.0,15.003098315755555,148.4214849688588,0,0.0,1,GA,low_dc
GA,4744,Dalton Utilities,Municipal,13482.0,10.071768045676375,97.58690599812094,0,0.0,1,GA,low_dc
GA,4433,City of Covington - (GA),Municipal,12459.0,14.57191137814495,155.73079701420662,0,0.0,1,GA,low_dc
GA,13962,Oconee Electric Member Corp,Cooperative,10743.0,15.712295059680795,179.30512892115794,0,0.0,1,GA,low_dc
GA,10800,City of Lawrenceville - (GA),Municipal,10667.0,15.77522604474269,134.80125621074342,0,0.0,1,GA,low_dc
