delivery_year,auction_type,lda,clearing_price_mw_day,rto_price_mw_day,price_adder_vs_rto,source_file
2025/2026,Base Residual Auction,BGE,466.35,269.92,196.43,data/raw/pjm/2025-2026-base-residual-auction-report.pdf
2025/2026,Base Residual Auction,PEPCO,269.92,269.92,0.0,data/raw/pjm/2025-2026-base-residual-auction-report.pdf
2026/2027,Base Residual Auction,RTO,329.17,329.17,0.0,data/raw/pjm/2026-2027-bra-report.pdf
2026/2027,Base Residual Auction,ATSI,329.17,329.17,0.0,data/raw/pjm/2026-2027-bra-report.pdf
2026/2027,Base Residual Auction,ATSI-CLEVELAND,329.17,329.17,0.0,data/raw/pjm/2026-2027-bra-report.pdf
2026/2027,Base Residual Auction,COMED,329.17,329.17,0.0,data/raw/pjm/2026-2027-bra-report.pdf
2026/2027,Base Residual Auction,DAY,329.17,329.17,0.0,data/raw/pjm/2026-2027-bra-report.pdf
2026/2027,Base Residual Auction,DEOK,329.17,329.17,0.0,data/raw/pjm/2026-2027-bra-report.pdf
2026/2027,Base Residual Auction,DOM,329.17,329.17,0.0,data/raw/pjm/2026-2027-bra-report.pdf
2026/2027,Base Residual Auction,MAAC,329.17,329.17,0.0,data/raw/pjm/2026-2027-bra-report.pdf
2026/2027,Base Residual Auction,PPL,329.17,329.17,0.0,data/raw/pjm/2026-2027-bra-report.pdf
2026/2027,Base Residual Auction,EMAAC,329.17,329.17,0.0,data/raw/pjm/2026-2027-bra-report.pdf
2026/2027,Base Residual Auction,DPL-SOUTH,329.17,329.17,0.0,data/raw/pjm/2026-2027-bra-report.pdf
2026/2027,Base Residual Auction,PSEG,329.17,329.17,0.0,data/raw/pjm/2026-2027-bra-report.pdf
2026/2027,Base Residual Auction,PS-NORTH,329.17,329.17,0.0,data/raw/pjm/2026-2027-bra-report.pdf
2026/2027,Base Residual Auction,JCPL,329.17,329.17,0.0,data/raw/pjm/2026-2027-bra-report.pdf
2026/2027,Base Residual Auction,SWMAAC,329.17,329.17,0.0,data/raw/pjm/2026-2027-bra-report.pdf
2026/2027,Base Residual Auction,BGE,329.17,329.17,0.0,data/raw/pjm/2026-2027-bra-report.pdf
2026/2027,Base Residual Auction,PEPCO,329.17,329.17,0.0,data/raw/pjm/2026-2027-bra-report.pdf
